"# Raw surface EMG excerpt, Santuz et al. 2021, CC BY 4.0"
# source,https://doi.org/10.5281/zenodo.5171823
# trial,ID0001_M_YOUNG_TW_01
# sampling_rate_hz,1000
# units,millivolt
# touchdown_s,0.6990;1.7410;2.7830;3.8240;4.8830;5.9240;6.9580;7.9990
# regenerate,python scripts/extract_emg_demo.py
time_s,ta_mv,gm_mv,rf_mv
0.00000,-0.008280,-0.168072,0.005643
0.00100,-0.000671,-0.123550,0.019728
0.00200,-0.018156,-0.068829,0.003700
0.00300,-0.014918,0.095496,0.007424
0.00400,0.014062,0.203967,0.005481
0.00500,0.030899,0.042394,0.004024
0.00600,0.032842,-0.167910,-0.007309
0.00700,0.006776,-0.171148,-0.003423
0.00800,-0.001642,0.029766,-0.008442
0.00900,0.010986,0.125609,0.011633
0.01000,0.048222,-0.096028,0.003377
0.01100,0.027175,-0.088904,0.003700
0.01200,0.017462,-0.087771,0.009853
0.01300,-0.020422,0.068783,0.011310
0.01400,-0.038393,0.206557,-0.004556
0.01500,-0.030460,-0.000833,0.003700
0.01600,-0.021232,-0.031755,0.002891
0.01700,0.012443,0.003215,0.008072
0.01800,0.000624,0.052269,-0.005528
0.01900,0.002243,-0.028841,-0.000995
0.02000,-0.022365,-0.197537,0.001272
0.02100,-0.019127,-0.184585,0.001434
0.02200,0.003215,-0.183776,-0.003423
0.02300,-0.003423,-0.160463,-0.011680
0.02400,-0.002614,-0.124684,-0.003747
0.02500,-0.005851,0.042232,0.005158
0.02600,0.006615,0.039318,0.003377
0.02700,-0.020422,-0.037098,0.004024
0.02800,-0.040983,0.424956,0.002729
0.02900,-0.003747,0.371854,0.003053
0.03000,0.021671,0.036404,0.007910
0.03100,0.023776,0.176606,0.005805
0.03200,0.025556,0.062145,0.006938
0.03300,0.016652,0.079954,0.011148
0.03400,-0.007794,0.177092,0.014871
0.03500,0.003539,0.181625,-0.000185
0.03600,-0.002775,0.059555,0.018109
0.03700,-0.000347,-0.100237,-0.003099
0.03800,-0.000833,-0.249992,-0.004071
0.03900,-0.003261,-0.484580,0.008557
0.04000,0.021995,-0.339683,0.008395
0.04100,0.008072,-0.170824,0.002243
0.04200,0.017785,-0.129702,-0.008766
0.04300,-0.001318,0.041260,-0.002128
0.04400,-0.017184,0.117676,0.002081
0.04500,-0.023498,0.071211,-0.001804
0.04600,-0.015727,0.089506,0.000624
0.04700,0.006291,-0.109465,-0.001804
0.04800,-0.007794,-0.193814,-0.009413
0.04900,-0.016213,-0.163215,0.003862
0.05000,-0.001966,-0.155606,0.013252
0.05100,0.004996,0.014709,0.010500
0.05200,-0.004880,0.389986,-0.003099
0.05300,-0.020746,0.289610,-0.004718
0.05400,-0.007632,-0.108008,0.000463
0.05500,-0.014432,-0.040335,-0.000023
0.05600,-0.013137,0.019728,0.005967
0.05700,-0.009737,-0.230888,-0.000671
0.05800,-0.009575,-0.220365,-0.005690
0.05900,-0.002290,0.158798,0.005967
0.06000,-0.014594,0.434831,0.005967
0.06100,-0.000995,0.233756,0.001110
0.06200,0.002081,0.053888,0.001758
0.06300,-0.002775,0.056641,-0.014108
0.06400,-0.005204,-0.163701,0.001758
0.06500,-0.010546,0.169968,-0.003585
0.06600,0.002243,0.264192,-0.005204
0.06700,0.009691,0.130142,-0.004880
0.06800,0.032194,0.167702,0.006129
